Produtos Estoques/Preço custo,Efetiva Informática Ltda
Pág.:,   1
Data Base:,01/04/2022
,Código,Descrição,EAN,Família,Depósito,Qtd,Qtd. Reserv.,Dat Ult. Compra,Preço Custo+IPI+Difal,Preço Venda
02157,ADAPTADOR ULTRATOP MINI HDMI X HDMI PRETO,,01001,1,"          6,00","              1,00",20/07/2020,"            14,90","         23,00"
05043,ADAPTADOR USB BLUETOOTH 4.0 CSR MD9,7897054616560,01001,1,"          4,00","              0,00",04/02/2022,"            42,70","         69,00"
05044,ADAPTADOR USB BLUETOOTH 4.0 JC-BLU01 F3,6972147640859,01001,1,"          2,00","              0,00",04/02/2022,"            35,28","         69,00"
03407,ADAPTADOR USB BLUETOOTH DEX 4.0 - PRETO,6955581351925,01001,1,"          2,00","              0,00",04/02/2022,"            21,13","         49,90"
05042,ADAPTADOR VGA F X DVI-D DEX 24+1,,01001,1,"          3,00","              0,00",04/02/2022,"             6,43","         29,00"
03545,ADAPTADOR VGA F X DVI-I M DEX 24+5,,01001,1,"          3,00","              0,00",04/02/2022,"             6,43","         29,00"
00213,ADAPTADOR VGA-F P/ DVI-M,6954396280437,01001,1,"          3,00","              0,00",22/10/2020,"             9,64","         29,00"
04673,ADAPTADOR WIRELESS D-LINK USB DWA-182 AC1200,7898594001601,04007,1,"          1,00","              0,00",04/05/2021,"           129,90","        199,00"
03527,ADAPTADOR WIRELESS TP-LINK USB TL-WN821N 300MBPS,6935364050368,04007,1,"          3,00","              0,00",14/03/2022,"            65,65","         98,90"
02766,ADAPTADOR WIRELESS TP-LINK USB TL-WN823N 300M (TL-WN823N),6935364050696,04007,1,"          4,00","              1,00",15/12/2021,"            58,90","         92,00"
03561,ADAPTADOR WIRELESS USB INTELBRAS ACTION A1200 DUAL BAND 1200MBPS,7896637677660,04007,1,"          2,00","              0,00",24/03/2022,"           112,16","        179,00"
03560,ADAPTADOR WIRELESS USB INTELBRAS INET IWA3001 300MBPS C/ ANTENA REMOVIVEL,7896637677554,04007,1,"          4,00","              2,00",24/03/2022,"            57,82","         99,00"
03976,ADAPTADOR WIRELESS USB TP-LINK ARCHER T2U NANO AC600 DUAL BAND 200MBPS,6935364099978,04007,1,"          4,00","              1,00",24/03/2022,"           102,40","        149,00"
02914,ADAPTADOR/CONVERSOR  HDMI MACHO X VGA FEMEA,7898547285133,01001,1,"          3,00","              0,00",03/02/2022,"            37,27","         69,00"
04920,ALICATE CORTE DIAGONAL,7891114008883,01008,1,"          2,00","              0,00",09/11/2021,"            17,64","         35,00"
